City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vanimo,99,PG,1587421337,82,-2.67,141.3,79.3,6.73
Severo-Kuril'sk,63,RU,1587421337,93,50.68,156.12,32.27,5.64
Cape Town,75,ZA,1587421094,93,-33.93,18.42,60.01,3.36
Hobart,75,AU,1587421220,81,-42.88,147.33,53.01,5.82
Buraidah,75,SA,1587421091,100,26.33,43.98,66.2,6.93
Mataura,89,NZ,1587421338,78,-46.19,168.86,45.41,2.53
Ushuaia,75,AR,1587421124,87,-54.8,-68.3,42.8,41.38
Dombarovskiy,0,RU,1587421338,85,50.76,59.54,46.71,9.04
Bluff,78,NZ,1587421338,86,-46.6,168.33,46.71,7.34
New Norfolk,23,AU,1587421338,76,-42.78,147.06,53.01,1.01
Kapaa,75,US,1587421265,69,22.08,-159.32,79.0,13.87
Port Alfred,36,ZA,1587421338,90,-33.59,26.89,64.99,3.0
La Ronge,75,CA,1587421338,42,55.1,-105.28,30.2,5.82
Karratha,97,AU,1587421670,73,-20.74,116.85,80.56,8.66
Dalvik,11,IS,1587421671,72,65.97,-18.53,45.66,9.69
Tiznit Province,34,MA,1587421338,62,29.58,-9.5,55.54,8.34
Pangkalanbuun,34,ID,1587421339,90,-2.68,111.62,76.96,2.64
Grand Forks,90,US,1587421339,69,47.93,-97.03,37.99,25.28
Husavik,31,IS,1587421339,77,66.04,-17.34,43.39,12.21
Khatanga,100,RU,1587421339,95,71.97,102.5,22.66,5.26
Bredasdorp,100,ZA,1587421046,63,-34.53,20.04,60.8,1.12
Chaska,75,US,1587421148,50,44.79,-93.6,53.6,18.34
Palmer,75,US,1587421339,23,42.16,-72.33,55.0,6.93
Geraldton,1,AU,1587421339,87,-28.77,114.6,53.6,11.41
Takoradze,1,GH,1587421671,80,4.88,-1.76,82.33,10.98
Faanui,91,PF,1587421671,77,-16.48,-151.75,81.9,19.55
Empalme,75,MX,1587421533,39,27.97,-110.82,87.01,11.41
Port Lincoln,27,AU,1587421340,76,-34.73,135.87,59.32,15.88
Hermanus,100,ZA,1587421160,99,-34.42,19.23,57.0,8.52
Rucăr,86,RO,1587421340,53,45.4,25.17,44.01,5.99
Khovd,24,MN,1587421340,34,48.01,91.64,38.68,0.74
Jalu,0,LY,1587421340,16,29.03,21.55,80.46,16.35
Deputatsky,100,RU,1587421340,91,69.3,139.9,12.88,5.01
Along,100,IN,1587421340,66,28.17,94.77,63.19,3.22
Kupang,40,ID,1587421340,94,-10.17,123.58,77.0,5.82
East London,90,ZA,1587421672,71,-33.02,27.91,72.68,13.69
Bonavista,97,CA,1587421672,90,48.65,-53.11,35.76,18.32
Busselton,18,AU,1587421672,70,-33.65,115.33,59.0,10.49
Ouidah,20,BJ,1587421673,79,6.36,2.09,84.2,9.17
Punta Arenas,40,CL,1587421502,81,-53.15,-70.92,48.2,26.4
Cayenne,100,GF,1587421221,100,4.93,-52.33,73.4,2.24
Olmos,50,PE,1587421341,47,-5.98,-79.75,84.94,9.26
Cabo San Lucas,5,MX,1587421140,37,22.89,-109.91,84.0,17.22
Lebu,43,CL,1587421351,63,-37.62,-73.65,58.78,17.11
Ulaangom,31,MN,1587421351,47,49.98,92.07,38.03,0.43
Wanaka,97,NZ,1587421351,75,-44.7,169.15,45.0,1.99
Barra de Tecoanapa,16,MX,1587421351,55,16.52,-98.75,87.37,11.95
Warrnambool,90,AU,1587421351,87,-38.38,142.48,52.0,13.71
Avarua,4,CK,1587421352,74,-21.21,-159.78,84.2,12.75
Jardim,0,BR,1587421352,51,-21.48,-56.14,79.88,3.38
Katsuura,75,JP,1587421352,87,35.13,140.3,57.0,1.12
Butaritari,100,KI,1587421352,79,3.07,172.79,82.44,13.15
Adrar,0,MR,1587421352,14,20.5,-10.07,80.01,9.51
Pacifica,75,US,1587421262,55,37.61,-122.49,64.0,16.11
Kidal,84,ML,1587421352,18,18.44,1.41,91.04,13.78
Bosaso,82,SO,1587421352,71,11.28,49.18,84.36,5.64
Hasaki,75,JP,1587421352,100,35.73,140.83,54.0,1.12
Rikitea,29,PF,1587421352,74,-23.12,-134.97,76.05,4.76
Mahébourg,40,MU,1587421352,83,-20.41,57.7,77.0,14.99
Thompson,75,CA,1587421353,53,55.74,-97.86,21.2,13.87
Murray Bridge,20,AU,1587421353,85,-35.12,139.27,57.0,3.0
Ostrovnoy,100,RU,1587421353,93,68.05,39.51,32.58,18.81
Hilo,1,US,1587421269,54,19.73,-155.09,82.4,13.87
Pavlohrad,0,UA,1587421353,51,48.52,35.87,39.2,8.95
Tasiilaq,100,GL,1587421353,87,65.61,-37.64,33.8,4.7
Talara,92,PE,1587421353,61,-4.58,-81.27,79.43,18.45
Carnarvon,75,AU,1587421353,56,-24.87,113.63,68.0,13.87
Arraial do Cabo,1,BR,1587421353,83,-22.97,-42.03,73.4,5.82
Ozernovskiy,59,RU,1587421353,89,51.5,156.52,29.93,9.1
Larap,59,PH,1587421353,87,14.3,122.65,78.94,8.41
Albany,40,US,1587421203,25,42.6,-73.97,53.6,5.82
Atuona,3,PF,1587421354,71,-9.8,-139.03,82.76,12.86
Ca Mau,33,VN,1587421293,84,9.18,105.15,79.34,3.56
Pangoa,0,PE,1587421354,42,-12.12,-73.0,83.57,3.27
Berlevåg,40,NO,1587421354,69,70.86,29.09,39.2,26.4
Mar del Plata,100,AR,1587421354,77,-38.0,-57.56,64.4,6.93
Fairbanks,90,US,1587421354,93,64.84,-147.72,43.0,3.36
Mandalgovi,0,MN,1587421354,57,45.76,106.27,18.21,10.98
Chui,0,UY,1587421354,68,-33.7,-53.46,70.56,0.89
Baykit,100,RU,1587421354,93,61.67,96.37,29.25,3.18
Soyo,54,AO,1587421354,86,-6.13,12.37,80.08,8.68
Semnan,0,IR,1587421354,31,35.57,53.4,64.29,1.81
Nhulunbuy,0,AU,1587421354,94,-12.23,136.77,78.8,7.4
Haapiti,80,PF,1587421355,66,-17.57,-149.87,87.8,8.05
Ayorou,70,NE,1587421355,28,14.73,0.92,94.14,7.72
Yulara,75,AU,1587421355,53,-25.24,130.99,71.6,9.17
Japura,25,ID,1587421355,90,-0.32,102.35,74.28,0.72
Cedar City,64,US,1587421185,23,37.68,-113.06,55.6,6.46
Buin,86,CL,1587421355,22,-33.73,-70.75,80.6,4.65
São João da Barra,1,BR,1587421355,69,-21.64,-41.05,75.2,6.93
Demidov,20,RU,1587421355,84,55.27,31.52,34.09,6.13
Isangel,75,VU,1587421365,94,-19.55,169.27,78.8,3.36
Provideniya,78,RU,1587421365,79,64.38,-173.3,19.4,8.95
Nikolskoye,90,RU,1587421365,80,59.7,30.79,42.01,4.47
Kuusamo,100,FI,1587421366,55,65.97,29.18,35.6,3.36
Torbay,75,CA,1587421366,64,47.67,-52.73,41.0,26.4
Priargunsk,100,RU,1587421366,81,50.37,119.1,19.74,25.39
Nome,90,US,1587421227,92,64.5,-165.41,32.0,5.82
Laas,90,IT,1587421366,100,46.62,10.7,44.6,9.17
Dingle,97,PH,1587421366,82,11.0,122.67,79.7,6.62
Udachny,21,RU,1587421366,88,66.42,112.4,19.49,6.22
Puerto Ayora,40,EC,1587421366,70,-0.74,-90.35,84.2,16.11
Baruun-Urt,0,MN,1587421366,69,46.68,113.28,18.93,13.56
Sabang,66,ID,1587421366,79,5.89,95.32,83.62,8.57
Petropavlovsk-Kamchatskiy,81,RU,1587421190,34,53.05,158.65,35.6,11.18
Lompoc,1,US,1587421367,59,34.64,-120.46,63.0,17.22
Beyneu,15,KZ,1587421367,45,45.32,55.2,67.5,11.68
