,City,Country,Lat,Lng,Hotel Name
0,ostrovnoy,RU,68.05,39.51,
1,mahebourg,MU,-20.41,57.7,
2,qaanaaq,GL,77.48,-69.36,
3,zhuhai,CN,40.71,112.04,
4,cape town,ZA,-33.93,18.42,
5,atuona,PF,-9.8,-139.03,
6,flinders,AU,-34.58,150.85,
7,opuwo,,-18.06,13.84,
8,tiksi,RU,71.64,128.87,
9,pushkinskiye gory,RU,57.02,28.91,
10,aykhal,RU,65.95,111.51,
11,castro,CL,-42.48,-73.76,
12,avarua,CK,-21.21,-159.78,
13,saskylakh,RU,71.97,114.09,
14,constitucion,MX,23.99,-104.67,
15,albany,US,42.65,-73.75,
16,vilyuysk,RU,63.75,121.63,
17,ushuaia,AR,-54.81,-68.31,
18,bambous virieux,MU,-20.34,57.76,
19,kodinsk,RU,58.6,99.18,
20,teknaf,BD,20.86,92.31,
21,busselton,AU,-33.64,115.35,
22,ambon,FR,47.55,-2.56,
23,maragogi,BR,-9.01,-35.22,
24,fallon,US,46.84,-105.12,
25,kantang,TH,7.42,99.52,
26,colonelganj,IN,27.13,81.7,
27,punta arenas,CL,-53.16,-70.91,
28,rikitea,PF,-23.12,-134.97,
29,new norfolk,AU,-42.78,147.06,
30,gobabis,,-22.45,18.97,
31,qingdao,CN,36.09,120.35,
32,port hardy,CA,50.7,-127.42,
33,arman,RU,59.7,150.17,
34,mamakan,RU,57.82,114.02,
35,bethel,US,60.79,-161.76,
36,clinton,US,41.84,-90.19,
37,varhaug,NO,58.61,5.65,
38,ayan,TR,40.67,33.6,
39,mayor pablo lagerenza,PY,-19.93,-60.77,
40,hermanus,ZA,-34.42,19.24,
41,torbay,CA,47.66,-52.73,
42,yellowknife,CA,62.45,-114.38,
43,kruisfontein,ZA,-34.0,24.73,
44,puerto ayora,EC,-0.74,-90.35,
45,rosita,NI,13.92,-84.4,
46,beloha,MG,-25.17,45.06,
47,port elizabeth,US,39.31,-74.98,
48,port alfred,ZA,-33.59,26.89,
49,garchitorena,PH,13.88,123.7,
50,kodiak,US,39.95,-94.76,
51,mar del plata,AR,-46.43,-67.52,
52,taybad,IR,34.74,60.78,
53,cabo san lucas,MX,22.89,-109.91,
54,tiarei,PF,-17.53,-149.33,
55,khatanga,RU,71.98,102.47,
56,pisco,PE,-13.71,-76.2,
57,kolyvan,RU,55.31,82.74,
58,hofn,IS,64.25,-15.21,
59,bontang,ID,0.12,117.47,
60,sault sainte marie,CA,46.49,-84.36,
61,zhigansk,RU,66.77,123.37,
62,thompson,CA,55.74,-97.86,
63,pevek,RU,69.7,170.27,
64,nanortalik,GL,60.14,-45.24,
65,bilibino,RU,68.06,166.44,
66,dikson,RU,73.51,80.55,
67,hambantota,LK,6.12,81.12,
68,beja,PT,38.02,-7.87,
69,fortuna,ES,38.18,-1.13,
70,ponta do sol,BR,-20.63,-46.0,
71,qasigiannguit,GL,68.82,-51.19,
72,butaritari,KI,3.07,172.79,
73,virginia beach,US,36.85,-75.98,
74,hobyo,SO,5.35,48.53,
75,saint george,GR,39.45,22.34,
76,pontes e lacerda,BR,-15.23,-59.33,
77,khor,RU,47.88,134.96,
78,crotone,IT,39.09,17.12,
79,baglung,NP,28.27,83.59,
80,raglan,NZ,-37.8,174.87,
81,jamestown,AU,-33.21,138.6,
82,sur,OM,22.57,59.53,
83,araouane,ML,18.9,-3.53,
84,emerald,AU,-23.53,148.16,
85,launceston,AU,-41.43,147.14,
86,nikolskoye,RU,59.7,30.79,
87,ambilobe,MG,-13.19,49.05,
88,cidreira,BR,-30.17,-50.22,
89,ternate,PH,14.29,120.72,
90,tarauaca,BR,-8.16,-70.77,
91,bella vista,AR,-28.51,-59.05,
92,xichang,CN,27.88,102.25,
93,antioch,US,38.0,-121.81,
94,najran,SA,17.54,44.22,
